exp,rho,sigma,seed,m,absorbed,cos_comp,rec,wall_s,n11,n10,n01,rho_count,rho_c,rho_x,rho_d,ties,lo_is_comp,m_n11,m_n10,m_n01,m_rho_count,m_rho_c,m_rho_x,m_rho_d,m_ties,m_lo_is_comp,rho_d_t002,rho_d_t010,a1,a0,g0,g1,b_p,b_c,n_j11,n_s11,delta_J,delta_S,q11_B,q10_B,q01_B,pi_B,h_B,b11_frac,rho_real,rho_d_auto,q,p0,cos_child
SC,0.5,0.1,47,32,1,0.9938,0.6052,443.8,19085,9174,15886,0.64014,0.79218,0.63392,0.50076,0,0,19084,5818,12394,0.66769,0.844,0.68054,0.49906,0,0,0.50288,0.499,1.0,0.68873,1.0,0.33383,0.02979,0.03099,6211,12873,0.0,0.00062,1e-05,0.02978,0.03098,1.0,0.51,2e-05,0.49885,0.49924,,,
SC,0.5,0.1,48,32,1,0.985,0.6106,443.8,19601,12764,11741,0.71061,0.71061,0.47913,0.50138,0,1,19599,9558,8520,0.74632,0.74632,0.47129,0.50139,0,1,0.50346,0.49988,1.0,0.4913,1.0,0.54892,0.02856,0.02869,10368,9231,0.0,0.00032,2e-05,0.02854,0.02868,1.0,0.50132,5e-05,0.50131,0.50138,,,
SC,0.5,0.1,49,32,1,0.9918,0.6082,443.8,19963,12127,11562,0.72219,0.72219,0.48807,0.50637,0,1,19961,9247,8297,0.75345,0.75345,0.47293,0.50231,0,1,0.50935,0.50342,1.0,0.50477,1.0,0.55944,0.02562,0.02904,10536,9425,0.0,0.00064,2e-05,0.0256,0.02902,0.0,0.53115,5e-05,0.50215,0.50637,,,
SC,0.5,0.1,50,32,1,0.9881,0.6176,443.8,17833,13902,11021,0.67485,0.67485,0.4422,0.49902,0,1,17833,11139,8223,0.70052,0.70052,0.4247,0.4984,0,1,0.4997,0.4976,1.0,0.40309,1.0,0.55633,0.02449,0.0248,10311,7522,0.0,0.00053,0.0,0.02449,0.0248,nan,0.50315,0.0,0.49829,0.49902,,,
SC,0.5,0.1,51,32,1,0.9926,0.6109,443.8,19854,10941,13298,0.69841,0.75187,0.54862,0.50244,0,0,19846,7687,9988,0.7338,0.79513,0.56509,0.50212,0,0,0.50359,0.50105,1.0,0.58856,1.0,0.4698,0.029,0.0295,8850,10996,0.0,0.00018,7e-05,0.02893,0.02943,0.5,0.50426,0.00018,0.50207,0.49756,,,
SC,0.5,0.1,52,32,1,0.9922,0.6063,443.8,20089,11359,12853,0.70987,0.74359,0.53085,0.49999,0,0,20087,8037,9293,0.75164,0.7852,0.53624,0.49681,0,0,0.50157,0.49714,1.0,0.57329,1.0,0.49989,0.02952,0.03164,9289,10798,0.0,0.00065,2e-05,0.02951,0.03162,0.5,0.51729,5e-05,0.49662,0.50001,,,
SC,0.5,0.1,53,32,1,0.9821,0.6123,443.8,21013,12462,11222,0.72119,0.72119,0.47382,0.49952,0,1,21012,8833,7492,0.76343,0.76343,0.45893,0.49809,0,1,0.5011,0.49755,1.0,0.52868,1.0,0.59712,0.03222,0.03312,11104,9908,0.0,0.0001,1e-05,0.03221,0.03311,0.0,0.50679,2e-05,0.49806,0.49952,,,
SC,0.5,0.1,54,32,1,0.9927,0.6046,443.8,19597,12492,12148,0.71761,0.71761,0.49302,0.49698,0,1,19590,8972,8787,0.75978,0.75978,0.49479,0.49857,0,1,0.4986,0.49683,1.0,0.52106,1.0,0.52799,0.03131,0.0299,9829,9761,0.0,0.00051,6e-05,0.03125,0.02984,0.42857,0.48839,0.00016,0.49843,0.49698,,,
SC,0.5,0.1,55,32,1,0.9917,0.61,443.8,19855,10286,13809,0.6858,0.76596,0.57311,0.50048,0,0,19854,7124,10693,0.71615,0.81089,0.60016,0.50118,0,0,0.49996,0.49981,1.0,0.621,1.0,0.43345,0.02816,0.02775,8181,11673,0.0,0.00051,1e-05,0.02815,0.02774,0.0,0.49626,2e-05,0.50102,0.49952,,,
SC,0.5,0.1,56,32,1,0.9867,0.6091,443.8,21548,9270,14281,0.68334,0.79445,0.60639,0.50039,0,0,21543,5431,10540,0.71904,0.85523,0.65995,0.50179,0,0,0.50255,0.50128,1.0,0.70957,1.0,0.43978,0.03417,0.0333,8274,13269,0.0,0.00075,4e-05,0.03413,0.03326,0.4,0.49347,0.00011,0.50152,0.49961,,,
