m,seed,absorbed,cos_comp,dnorm_par,dnorm_comp,n11,n10,n01,rho_count,rho_c,rho_x,rho_d,ties,lo_is_comp,m_n11,m_n10,m_n01,m_rho_count,m_rho_c,m_rho_x,m_rho_d,m_ties,m_lo_is_comp,rho_d_t002,rho_d_t010,a1,a0,g0,g1,b_p,b_c,n_j11,n_s11,delta_J,delta_S,q11_B,q10_B,q01_B,pi_B,h_B,b11_frac,rho_real
256,16,1,0.9938,1.0,1.0,43715,22601,20193,0.73874,0.73874,0.47187,0.48041,0,1,43693,17532,18426,0.76867,0.77989,0.51243,0.49947,0,0,0.4787,0.48315,1.0,0.56147,0.99805,0.53751,0.0423,0.01487,21324,22369,0.0,0.00148,0.00018,0.04212,0.01468,0.45455,0.25911,0.00025,0.49807
256,17,1,0.9954,1.0,1.0,43015,22850,21251,0.73771,0.73771,0.48187,0.48553,0,1,42992,17811,19100,0.76096,0.77709,0.51746,0.50235,0,0,0.48424,0.48761,1.0,0.55251,1.0,0.5237,0.04215,0.0181,21001,21991,0.0,0.00173,0.00019,0.04196,0.01791,0.30435,0.29918,0.00026,0.50187
256,18,1,0.9935,1.0,1.0,44677,21205,20815,0.75541,0.75541,0.49536,0.48345,0,1,44646,16372,18890,0.7636,0.79511,0.5357,0.50023,0,0,0.48209,0.48594,1.0,0.59049,1.0,0.52691,0.0405,0.01629,21039,23607,0.0,0.00182,0.00026,0.04024,0.01603,0.54839,0.28605,0.00036,0.49969
256,19,1,0.9947,1.0,1.0,43372,22636,21524,0.7414,0.7414,0.48741,0.48138,0,1,43347,17272,19474,0.75686,0.78435,0.52996,0.50034,0,0,0.47981,0.4839,1.0,0.56944,0.99818,0.51471,0.04494,0.01731,20577,22770,0.0,0.00101,0.00021,0.04473,0.0171,0.48,0.27719,0.00029,0.49914
256,20,1,0.9944,1.0,1.0,42219,22605,21834,0.73915,0.73915,0.49133,0.48819,0,1,42189,17955,19952,0.7509,0.77583,0.52634,0.50452,0,0,0.4867,0.49047,1.0,0.54865,0.99834,0.50634,0.03903,0.01595,20407,21782,0.0,0.00234,0.00025,0.03878,0.0157,0.46667,0.28894,0.00035,0.50312
256,21,1,0.9942,1.0,1.0,45765,21151,19608,0.75555,0.75555,0.48107,0.48756,0,1,45737,16656,17276,0.78315,0.79093,0.50914,0.50012,0,0,0.48604,0.4895,1.0,0.58117,0.99815,0.56591,0.03761,0.01962,22522,23215,0.0,0.00198,0.00023,0.03738,0.01939,0.35714,0.34165,0.00032,0.49908
256,22,1,0.9947,1.0,1.0,43257,23030,20216,0.73377,0.73377,0.46747,0.48195,0,1,43221,18485,18341,0.76907,0.76907,0.49804,0.4972,0,1,0.48074,0.48383,1.0,0.54187,0.99802,0.54,0.03819,0.01593,21437,21784,0.0,0.00096,0.0003,0.03789,0.01563,0.44444,0.29291,0.00042,0.49593
256,23,1,0.9931,1.0,1.0,47107,19699,19522,0.77181,0.77181,0.49774,0.49245,0,1,47094,15854,17071,0.78666,0.80187,0.51848,0.50059,0,0,0.49143,0.49396,1.0,0.60287,0.9985,0.57329,0.03217,0.02055,22935,24159,0.0,0.00211,0.00011,0.03206,0.02044,0.30769,0.38913,0.00015,0.49958
256,24,1,0.9951,1.0,1.0,42737,23013,20991,0.73469,0.73469,0.47702,0.48601,0,1,42717,18275,18783,0.76455,0.77092,0.50685,0.50062,0,0,0.48487,0.48787,1.0,0.54251,0.99807,0.53034,0.03958,0.01853,21123,21594,0.0,0.00144,0.00017,0.03941,0.01837,0.6,0.31869,0.00023,0.49927
256,25,1,0.9936,1.0,1.0,44953,21747,20145,0.74959,0.74959,0.48088,0.48478,0,1,44931,16964,18057,0.77415,0.78782,0.5156,0.5003,0,0,0.48344,0.48727,1.0,0.57681,0.99808,0.54895,0.04003,0.01758,21884,23047,5e-05,0.0026,0.00018,0.03984,0.01739,0.59091,0.3048,0.00025,0.49861
256,26,1,0.9944,1.0,1.0,43447,23105,20238,0.73378,0.73378,0.46693,0.48319,0,1,43411,17977,18336,0.77001,0.77451,0.50494,0.50197,0,0,0.48135,0.48538,1.0,0.54832,0.99784,0.54221,0.04294,0.01612,21636,21775,0.0,0.00216,0.0003,0.04264,0.01582,0.41667,0.2713,0.00041,0.50041
256,27,1,0.9956,1.0,1.0,42714,22564,22025,0.74154,0.74154,0.49396,0.48727,0,1,42688,17928,19755,0.7542,0.77693,0.52424,0.50093,0,0,0.48579,0.48935,1.0,0.55431,0.99809,0.50975,0.03897,0.01919,20463,22225,0.0,0.00189,0.00022,0.03875,0.01898,0.38462,0.32891,0.0003,0.49946
256,28,1,0.9945,1.0,1.0,42821,22027,21871,0.746,0.746,0.49822,0.48937,0,1,42795,17576,19191,0.75879,0.77909,0.52196,0.49961,0,0,0.48813,0.49074,1.0,0.55886,1.0,0.51684,0.03717,0.02247,20529,22266,5e-05,0.00139,0.00022,0.03696,0.02225,0.30769,0.37558,0.0003,0.49923
256,29,1,0.992,1.0,1.0,45222,20459,20978,0.75792,0.76391,0.50626,0.49277,0,0,45190,16383,18435,0.76959,0.79523,0.52947,0.50177,0,0,0.49167,0.49414,1.0,0.58947,1.0,0.54029,0.03424,0.02146,21666,23524,0.0,0.00191,0.00027,0.03397,0.02119,0.4375,0.38445,0.00037,0.50121
256,30,1,0.995,1.0,1.0,44067,22422,20404,0.74196,0.74196,0.47644,0.48264,0,1,44044,17618,18296,0.77118,0.77966,0.50944,0.49797,0,0,0.48125,0.4847,1.0,0.56145,1.0,0.54013,0.04021,0.01775,21489,22555,5e-05,0.00146,0.00019,0.04002,0.01756,0.56522,0.30584,0.00026,0.49757
256,31,1,0.9952,1.0,1.0,43862,21914,22079,0.74869,0.75057,0.50188,0.49079,0,0,43808,17105,19097,0.76132,0.78621,0.52751,0.5012,0,0,0.48952,0.49241,0.99806,0.5707,0.99813,0.52234,0.04058,0.02533,20969,22839,5e-05,0.00158,0.00045,0.04013,0.02488,0.64815,0.38458,0.00061,0.50078
