q,lam,eps,seed,phi_child,has_parent,loss,top_latents
0.2,0.05,0.12,0,88.35546112060547,1,0.16426819562911987,"[[0.9981279373168945, 88.35546112060547], [0.9956204295158386, 0.5909416079521179]]"
0.2,0.05,0.12,1,89.13150024414062,1,0.16266685724258423,"[[0.9970913529396057, 89.13150024414062], [0.9969167709350586, 2.2478418350219727]]"
0.2,0.05,0.12,2,88.12886047363281,1,0.16235771775245667,"[[0.9969309568405151, 0.4296737313270569], [0.9963019490242004, 88.12886047363281]]"
0.2,0.05,0.18,0,88.9580078125,1,0.1671730875968933,"[[0.9982380270957947, 88.9580078125], [0.9961240291595459, 0.5411242246627808]]"
0.2,0.05,0.18,1,89.78048706054688,1,0.16571582853794098,"[[0.9973510503768921, 2.146204710006714], [0.9972913861274719, 89.78048706054688]]"
0.2,0.05,0.18,2,88.88843536376953,1,0.16550680994987488,"[[0.9973165988922119, 0.24078263342380524], [0.9965789318084717, 88.88843536376953]]"
0.2,0.1,0.0,0,45.968875885009766,1,0.31334757804870605,"[[0.9893164038658142, 45.968875885009766], [0.9873844981193542, -0.6550748348236084]]"
0.2,0.1,0.0,1,44.67756652832031,1,0.30403009057044983,"[[0.9969639778137207, 44.67756652832031], [0.9934614300727844, 0.36828717589378357]]"
0.2,0.1,0.0,2,46.232460021972656,1,0.30365559458732605,"[[0.995964765548706, 46.232460021972656], [0.9947182536125183, -0.8492541909217834]]"
0.2,0.1,0.005,0,47.099910736083984,1,0.316392183303833,"[[0.9894312620162964, 47.099910736083984], [0.9873546957969666, -0.7908340692520142]]"
0.2,0.1,0.005,1,44.97700881958008,1,0.3071064054965973,"[[0.9969126582145691, 44.97700881958008], [0.9934824109077454, 0.26005712151527405]]"
0.2,0.1,0.005,2,48.74352264404297,1,0.3063165843486786,"[[0.9961501955986023, 48.74352264404297], [0.9946330189704895, -0.8785916566848755]]"
0.2,0.1,0.01,0,48.234615325927734,1,0.31742990016937256,"[[0.9913195967674255, 48.234615325927734], [0.9877411127090454, -1.159885287284851]]"
0.2,0.1,0.01,1,45.29106140136719,1,0.30960166454315186,"[[0.996849536895752, 45.29106140136719], [0.9934868812561035, 0.15164904296398163]]"
0.2,0.1,0.01,2,70.14662170410156,1,0.3121556341648102,"[[0.9947401881217957, 70.14662170410156], [0.9915011525154114, 0.11570844799280167]]"
0.2,0.1,0.02,0,74.35957336425781,1,0.3214864730834961,"[[0.9950973391532898, 74.35957336425781], [0.982731819152832, 0.2292240560054779]]"
0.2,0.1,0.02,1,72.43864440917969,1,0.31793302297592163,"[[0.9893237352371216, 72.43864440917969], [0.98183274269104, 3.193584680557251]]"
0.2,0.1,0.02,2,75.96443939208984,1,0.31435638666152954,"[[0.9934210777282715, 75.96443939208984], [0.9904306530952454, 0.5752778649330139]]"
0.2,0.1,0.03,0,78.78240966796875,1,0.3237920105457306,"[[0.9950311183929443, 78.78240966796875], [0.98221755027771, 0.5662791728973389]]"
0.2,0.1,0.03,1,79.25423431396484,1,0.3211306929588318,"[[0.9858583807945251, 79.25423431396484], [0.981333315372467, 3.912536144256592]]"
0.2,0.1,0.03,2,78.84088134765625,1,0.3163571059703827,"[[0.9925302863121033, 78.84088134765625], [0.9900984764099121, 0.8308045268058777]]"
0.2,0.1,0.05,0,82.93836975097656,1,0.3269491195678711,"[[0.9948043823242188, 82.93836975097656], [0.9822596907615662, 0.92582106590271]]"
0.2,0.1,0.05,1,84.14268493652344,1,0.32406508922576904,"[[0.9853657484054565, 84.14268493652344], [0.9824776649475098, 4.374011993408203]]"
0.2,0.1,0.05,2,81.98158264160156,1,0.31989747285842896,"[[0.991162896156311, 81.98158264160156], [0.9900217056274414, 1.1859477758407593]]"
0.2,0.1,0.08,0,85.53697967529297,1,0.3305419385433197,"[[0.9948505759239197, 85.53697967529297], [0.9827496409416199, 1.132893443107605]]"
0.2,0.1,0.08,1,86.87772369384766,1,0.32766541838645935,"[[0.9868605732917786, 86.87772369384766], [0.9844232201576233, 4.567623615264893]]"
