q,lam,eps_star,eps,seed,phi_func,rho_func,act_child,phi_maxangle,has_parent,rec
0.1,0.2,0.024275510464376558,0.01728438113178327,11,78.82733917236328,0.9883254766464233,0.8671445250511169,78.82733917236328,1,0.15360307693481445
0.1,0.2,0.024275510464376558,0.01728438113178327,12,67.87689208984375,0.9912089705467224,0.8121007084846497,67.87689208984375,1,0.09767769277095795
0.1,0.2,0.024275510464376558,0.01728438113178327,13,49.23631286621094,0.9901228547096252,0.6409668922424316,49.23631286621094,1,0.09842300415039062
0.1,0.2,0.024275510464376558,0.01728438113178327,14,45.82334899902344,0.9922910928726196,0.6138550043106079,45.82334899902344,1,0.1662389636039734
0.1,0.2,0.024275510464376558,0.01728438113178327,15,64.2513427734375,0.9873891472816467,0.7821639776229858,64.2513427734375,1,0.10063717514276505
0.1,0.2,0.024275510464376558,0.02130899292159297,0,69.60655212402344,0.9883752465248108,0.8222016096115112,69.60655212402344,1,0.10217481851577759
0.1,0.2,0.024275510464376558,0.02130899292159297,1,73.75282287597656,0.9742025136947632,0.8310461044311523,73.75282287597656,1,0.09357728809118271
0.1,0.2,0.024275510464376558,0.02130899292159297,2,74.35752868652344,0.9902814030647278,0.8490731120109558,74.35752868652344,1,0.22303450107574463
0.1,0.2,0.024275510464376558,0.02130899292159297,3,68.37234497070312,0.98518306016922,0.8106065392494202,68.37234497070312,1,0.09800290316343307
0.1,0.2,0.024275510464376558,0.02130899292159297,4,74.14810943603516,0.9793680310249329,0.8385423421859741,74.14810943603516,1,0.0919017568230629
0.1,0.2,0.024275510464376558,0.02130899292159297,5,74.33997344970703,0.9882426857948303,0.8459036350250244,74.33997344970703,1,0.0940801128745079
0.1,0.2,0.024275510464376558,0.02130899292159297,6,76.6938705444336,0.9831162095069885,0.8531226515769958,76.6938705444336,1,0.1648765653371811
0.1,0.2,0.024275510464376558,0.02130899292159297,7,80.31204986572266,0.9750876426696777,0.8586649894714355,80.31204986572266,1,0.10151570290327072
0.1,0.2,0.024275510464376558,0.02130899292159297,8,71.1717300415039,0.9854753017425537,0.82943195104599,71.1717300415039,1,0.0955045148730278
0.1,0.2,0.024275510464376558,0.02130899292159297,9,75.3596420288086,0.9884642958641052,0.8538819551467896,75.3596420288086,1,0.15361154079437256
0.1,0.2,0.024275510464376558,0.02130899292159297,10,70.18228912353516,0.9929285049438477,0.8292440176010132,70.18228912353516,1,0.0961381196975708
0.1,0.2,0.024275510464376558,0.02130899292159297,11,81.29312896728516,0.9869007468223572,0.8725467920303345,81.29312896728516,1,0.08874963968992233
0.1,0.2,0.024275510464376558,0.02130899292159297,12,70.89898681640625,0.9912388920783997,0.8323041200637817,70.89898681640625,1,0.1611001044511795
0.1,0.2,0.024275510464376558,0.02130899292159297,13,54.561058044433594,0.9914857745170593,0.6994068026542664,54.561058044433594,1,0.09878421574831009
0.1,0.2,0.024275510464376558,0.02130899292159297,14,72.69127655029297,0.9812306761741638,0.8327935934066772,72.69127655029297,1,0.16426923871040344
0.1,0.2,0.024275510464376558,0.02130899292159297,15,67.26952362060547,0.9857177138328552,0.803095281124115,67.26952362060547,1,0.1030648723244667
0.1,0.2,0.024275510464376558,0.026270722444179963,0,73.66106414794922,0.9889991879463196,0.8452479243278503,73.66106414794922,1,0.1015905812382698
0.1,0.2,0.024275510464376558,0.026270722444179963,1,77.63964080810547,0.9726253747940063,0.8466389179229736,77.63964080810547,1,0.09456335753202438
0.1,0.2,0.024275510464376558,0.026270722444179963,2,76.40178680419922,0.9877200722694397,0.8559956550598145,76.40178680419922,1,0.09480300545692444
0.1,0.2,0.024275510464376558,0.026270722444179963,3,72.42381286621094,0.9846280813217163,0.8342681527137756,72.42381286621094,1,0.1694701761007309
0.1,0.2,0.024275510464376558,0.026270722444179963,4,77.02410125732422,0.9799931049346924,0.8501434326171875,77.02410125732422,1,0.09286628663539886
0.1,0.2,0.024275510464376558,0.026270722444179963,5,77.2843017578125,0.9883400201797485,0.8598923087120056,77.2843017578125,1,0.09544256329536438
0.1,0.2,0.024275510464376558,0.026270722444179963,6,79.07683563232422,0.9809995889663696,0.8595858812332153,79.07683563232422,1,0.09631577134132385
0.1,0.2,0.024275510464376558,0.026270722444179963,7,81.80364990234375,0.9756709933280945,0.8628259897232056,81.80364990234375,1,0.10334698855876923
0.1,0.2,0.024275510464376558,0.026270722444179963,8,72.97620391845703,0.9846003651618958,0.8381457924842834,72.97620391845703,1,0.09502900391817093
0.1,0.2,0.024275510464376558,0.026270722444179963,9,77.61701202392578,0.987786591053009,0.8605769872665405,77.61701202392578,1,0.09541288018226624
0.1,0.2,0.024275510464376558,0.026270722444179963,10,73.21241760253906,0.9912576079368591,0.8460651636123657,73.21241760253906,1,0.09544823318719864
0.1,0.2,0.024275510464376558,0.026270722444179963,11,81.9136962890625,0.9877287149429321,0.8764966130256653,81.9136962890625,1,0.15948551893234253
0.1,0.2,0.024275510464376558,0.026270722444179963,12,73.70248413085938,0.9900292158126831,0.8462777137756348,73.70248413085938,1,0.0990854799747467
0.1,0.2,0.024275510464376558,0.026270722444179963,13,56.9116325378418,0.9922021627426147,0.7237963676452637,56.9116325378418,1,0.16909319162368774
0.1,0.2,0.024275510464376558,0.026270722444179963,14,78.20067596435547,0.9768004417419434,0.8530155420303345,78.20067596435547,1,0.09083528816699982
0.1,0.2,0.024275510464376558,0.026270722444179963,15,69.88339233398438,0.9845392107963562,0.8206087350845337,69.88339233398438,1,0.10330727696418762
0.1,0.2,0.024275510464376558,0.032387774508094776,0,77.01403045654297,0.9892049431800842,0.8615115284919739,77.01403045654297,1,0.10404639691114426
0.1,0.2,0.024275510464376558,0.032387774508094776,1,80.5860595703125,0.9717556834220886,0.8577088117599487,80.5860595703125,1,0.09461282193660736
0.1,0.2,0.024275510464376558,0.032387774508094776,2,78.38717651367188,0.9872146248817444,0.8640130758285522,78.38717651367188,1,0.09612555056810379
0.1,0.2,0.024275510464376558,0.032387774508094776,3,75.75425720214844,0.9828746318817139,0.8491569757461548,75.75425720214844,1,0.09630976617336273
0.1,0.2,0.024275510464376558,0.032387774508094776,4,79.79695129394531,0.9811075925827026,0.8631395101547241,79.79695129394531,1,0.09396325051784515
0.1,0.2,0.024275510464376558,0.032387774508094776,5,80.50265502929688,0.9884153008460999,0.8706567883491516,80.50265502929688,1,0.09512414038181305
0.1,0.2,0.024275510464376558,0.032387774508094776,6,80.8104248046875,0.981195330619812,0.8659448027610779,80.8104248046875,1,0.09578587114810944
0.1,0.2,0.024275510464376558,0.032387774508094776,7,83.66244506835938,0.9763205647468567,0.8684220910072327,83.66244506835938,1,0.10322584211826324
0.1,0.2,0.024275510464376558,0.032387774508094776,8,75.2815933227539,0.9842175245285034,0.8503972887992859,75.2815933227539,1,0.15925005078315735
0.1,0.2,0.024275510464376558,0.032387774508094776,9,78.8051528930664,0.9878650307655334,0.8658073544502258,78.8051528930664,1,0.09855075180530548
0.1,0.2,0.024275510464376558,0.032387774508094776,10,75.41943359375,0.9905061721801758,0.8560565710067749,75.41943359375,1,0.1702333390712738
0.1,0.2,0.024275510464376558,0.032387774508094776,11,83.749267578125,0.9863715767860413,0.8794435858726501,83.749267578125,1,0.08640536665916443
0.1,0.2,0.024275510464376558,0.032387774508094776,12,75.77930450439453,0.9901936054229736,0.856601357460022,75.77930450439453,1,0.1659913808107376
0.1,0.2,0.024275510464376558,0.032387774508094776,13,61.64751052856445,0.9901888370513916,0.7651516199111938,61.64751052856445,1,0.09707686305046082
0.1,0.2,0.024275510464376558,0.032387774508094776,14,81.22430419921875,0.9755449891090393,0.8618673086166382,81.22430419921875,1,0.09192018210887909
0.1,0.2,0.024275510464376558,0.032387774508094776,15,72.65425109863281,0.9832183718681335,0.836778998374939,72.65425109863281,1,0.10230331122875214
0.1,0.2,0.024275510464376558,0.03992916220008952,0,79.66706848144531,0.9891635775566101,0.8706298470497131,79.66706848144531,1,0.10040253400802612
0.1,0.2,0.024275510464376558,0.03992916220008952,1,82.1407699584961,0.9728139638900757,0.8616092205047607,82.1407699584961,1,0.15921291708946228
0.1,0.2,0.024275510464376558,0.03992916220008952,2,80.29015350341797,0.9869258999824524,0.8695796728134155,80.29015350341797,1,0.1674487292766571
0.1,0.2,0.024275510464376558,0.03992916220008952,3,78.34365844726562,0.9825382232666016,0.8594229817390442,78.34365844726562,1,0.0981786847114563
0.1,0.2,0.024275510464376558,0.03992916220008952,4,81.96305847167969,0.9826037883758545,0.8697428703308105,81.96305847167969,1,0.16587592661380768
0.1,0.2,0.024275510464376558,0.03992916220008952,5,82.60118865966797,0.9885332584381104,0.8773113489151001,82.60118865966797,1,0.09355619549751282
0.1,0.2,0.024275510464376558,0.03992916220008952,6,82.36557006835938,0.9811809659004211,0.8705210089683533,82.36557006835938,1,0.09400715678930283
0.1,0.2,0.024275510464376558,0.03992916220008952,7,85.01084899902344,0.976840615272522,0.8720825910568237,85.01084899902344,1,0.10257788002490997
0.1,0.2,0.024275510464376558,0.03992916220008952,8,77.281494140625,0.9830486178398132,0.8573522567749023,77.281494140625,1,0.09630391746759415
0.1,0.2,0.024275510464376558,0.03992916220008952,9,80.84976959228516,0.988765299320221,0.874707043170929,80.84976959228516,1,0.16302542388439178
0.1,0.2,0.024275510464376558,0.03992916220008952,10,77.53244018554688,0.9877362847328186,0.8621073961257935,77.53244018554688,1,0.09779386967420578
0.1,0.2,0.024275510464376558,0.03992916220008952,11,83.97505187988281,0.9875513911247253,0.8807142972946167,83.97505187988281,1,0.1640312373638153
0.1,0.2,0.024275510464376558,0.03992916220008952,12,77.63241577148438,0.9889713525772095,0.8646713495254517,77.63241577148438,1,0.09850369393825531
0.1,0.2,0.024275510464376558,0.03992916220008952,13,67.38906860351562,0.9865177869796753,0.8072186708450317,67.38906860351562,1,0.10032758861780167
0.1,0.2,0.024275510464376558,0.03992916220008952,14,82.91677856445312,0.9764301776885986,0.8674894571304321,82.91677856445312,1,0.1610620617866516
