n,k,cond,seed,mmcs,frac_recovered,rec
128,32,reinit,3,0.46220988035202026,0.0,1.539649486541748
128,32,oracle,0,0.6502279043197632,0.0078125,1.5700569152832031
128,32,oracle,1,0.6675239205360413,0.0703125,1.6142616271972656
128,32,oracle,2,0.6746485829353333,0.0625,1.667937994003296
128,32,oracle,3,0.634178638458252,0.046875,1.5219199657440186
256,2,random,0,0.7634053230285645,0.09765625,0.8643851280212402
256,2,random,1,0.738666296005249,0.08203125,0.9382261633872986
256,2,random,2,0.7478436231613159,0.08203125,0.9176538586616516
256,2,random,3,0.7562986612319946,0.09765625,0.8875036239624023
256,2,reinit,0,0.9911487102508545,0.953125,0.06051614135503769
256,2,reinit,1,0.988628625869751,0.9453125,0.0673300176858902
256,2,reinit,2,0.9938196539878845,0.96875,0.04994785785675049
256,2,reinit,3,0.9914383888244629,0.953125,0.06164822727441788
256,2,oracle,0,0.9999790191650391,1.0,0.02386404573917389
256,2,oracle,1,0.9999752044677734,1.0,0.028742939233779907
256,2,oracle,2,0.9999769926071167,1.0,0.029313743114471436
256,2,oracle,3,0.9999801516532898,1.0,0.026916200295090675
256,4,random,0,0.8065187335014343,0.1640625,1.4787371158599854
256,4,random,1,0.7750985622406006,0.1484375,1.6081598997116089
256,4,random,2,0.7874629497528076,0.1875,1.5413837432861328
256,4,random,3,0.8224111795425415,0.2578125,1.352321743965149
256,4,reinit,0,0.9948722124099731,0.96875,0.33612483739852905
256,4,reinit,1,0.9934934973716736,0.97265625,0.3441545367240906
256,4,reinit,2,0.9917463064193726,0.9609375,0.3681308925151825
256,4,reinit,3,0.9958851933479309,0.9765625,0.32613593339920044
256,4,oracle,0,0.9997819066047668,1.0,0.30380648374557495
256,4,oracle,1,0.999765157699585,1.0,0.3021271824836731
256,4,oracle,2,0.9997711181640625,1.0,0.2983831763267517
256,4,oracle,3,0.9997771382331848,1.0,0.2974439561367035
256,8,random,0,0.8123567700386047,0.46875,2.4888978004455566
256,8,random,1,0.8178760409355164,0.46875,2.486828327178955
256,8,random,2,0.825110912322998,0.46875,2.4148097038269043
256,8,random,3,0.8196161985397339,0.44921875,2.5164530277252197
256,8,reinit,0,0.9902691841125488,0.98828125,1.4470596313476562
256,8,reinit,1,0.9908797144889832,0.9765625,1.4591004848480225
256,8,reinit,2,0.9892187118530273,0.9609375,1.45555579662323
256,8,reinit,3,0.9837685227394104,0.95703125,1.5042160749435425
256,8,oracle,0,0.997505247592926,1.0,1.4181264638900757
256,8,oracle,1,0.9974711537361145,1.0,1.4116575717926025
256,8,oracle,2,0.997427225112915,1.0,1.4056169986724854
256,8,oracle,3,0.9974216222763062,1.0,1.416502833366394
256,16,random,0,0.6238096952438354,0.02734375,3.643906831741333
256,16,random,1,0.5611042976379395,0.01953125,3.790438175201416
256,16,random,2,0.5764875411987305,0.0234375,3.7576231956481934
256,16,random,3,0.5738309621810913,0.01171875,3.7637391090393066
256,16,reinit,0,0.6518611907958984,0.09375,3.621962070465088
256,16,reinit,1,0.6029105186462402,0.0078125,3.749892234802246
256,16,reinit,2,0.620208740234375,0.01171875,3.7361037731170654
256,16,reinit,3,0.6544389128684998,0.05078125,3.6776485443115234
256,16,oracle,0,0.9803937673568726,1.0,3.1943159103393555
256,16,oracle,1,0.9803293943405151,1.0,3.1843390464782715
256,16,oracle,2,0.9805301427841187,1.0,3.2282400131225586
256,16,oracle,3,0.9800395369529724,1.0,3.2351198196411133
256,24,random,0,0.46071571111679077,0.0,3.086569309234619
256,24,random,1,0.46093350648880005,0.0,3.0989298820495605
256,24,random,2,0.4693005084991455,0.0,3.1612708568573
256,24,random,3,0.46222513914108276,0.0,3.0915536880493164
256,24,reinit,0,0.4334373474121094,0.0,3.0476181507110596
256,24,reinit,1,0.43264245986938477,0.0,3.099836826324463
256,24,reinit,2,0.4420902729034424,0.0,3.1271557807922363
256,24,reinit,3,0.44828376173973083,0.0,3.0767428874969482
256,24,oracle,0,0.5299557447433472,0.00390625,3.071258306503296
256,24,oracle,1,0.5999876260757446,0.00390625,3.0475292205810547
256,24,oracle,2,0.6222928762435913,0.00390625,3.0638976097106934
256,24,oracle,3,0.6025949120521545,0.0,3.0391273498535156
256,32,random,0,0.4083247184753418,0.0,2.028428077697754
256,32,random,1,0.41820424795150757,0.0,2.220614433288574
256,32,random,2,0.43241938948631287,0.0,2.1992712020874023
256,32,random,3,0.4151551425457001,0.0,2.2274885177612305
256,32,reinit,0,0.3965983986854553,0.0,2.001443386077881
256,32,reinit,1,0.403032124042511,0.0,2.026963949203491
256,32,reinit,2,0.40291541814804077,0.0,2.0604677200317383
256,32,reinit,3,0.39406055212020874,0.0,2.0276756286621094
256,32,oracle,0,0.6908713579177856,0.0078125,1.9321379661560059
256,32,oracle,1,0.7158722877502441,0.078125,1.9692338705062866
256,32,oracle,2,0.7145599126815796,0.1171875,2.001154899597168
256,32,oracle,3,0.6964848041534424,0.02734375,1.9600064754486084
