cond,rho,eps,b_rate,sigma,seed,absorbed,cos_comp,cos_child,cos_b,n_flagged,tp_flagged,fp_count,tp_cos,tp_lift,rate_i,rate_j,rec,orient_ok,child_res_cos,rho_hat
A,0.1,0.0,0.0,0.1,4,0,0.9793,0.7276,0.6844,1,1,0,0.6032,3.0581,0.16065,0.26405,0.6075,1,0.961,0.54462
A,0.1,0.0,0.0,0.1,5,1,0.9873,0.7339,0.6764,1,1,0,0.6365,2.9963,0.26465,0.14112,0.6038,1,0.9666,0.48022
A,0.1,0.0,0.0,0.1,6,1,0.9877,0.7236,0.6911,1,1,0,0.6,3.1047,0.2629,0.18581,0.6073,1,0.9635,0.62553
A,0.1,0.0,0.0,0.1,7,1,0.983,0.7308,0.6939,1,1,0,0.5862,3.0727,0.26514,0.17722,0.612,1,0.9618,0.59475
A,0.1,0.0,0.0,0.1,8,1,0.9936,0.7536,0.6827,1,1,0,0.5601,3.0819,0.2651,0.19281,0.6067,1,0.9838,0.64187
A,0.1,0.0,0.0,0.1,9,1,0.9854,0.7578,0.6778,1,1,0,0.538,3.0738,0.26654,0.19015,0.6079,1,0.979,0.63194
A,0.1,0.0,0.0,0.1,10,1,0.9867,0.7731,0.691,1,1,0,0.5431,2.9881,0.26791,0.18222,0.6114,1,0.9905,0.59891
A,0.1,0.0,0.0,0.1,11,1,0.989,0.771,0.7188,1,1,0,0.5832,2.9722,0.14854,0.27063,0.604,1,0.9826,0.49564
A,0.1,0.0,0.0,0.1,12,1,0.9859,0.7628,0.7013,1,1,0,0.5448,3.0085,0.26851,0.18491,0.6101,1,0.9809,0.60815
A,0.1,0.0,0.0,0.1,13,1,0.991,0.7401,0.681,1,1,0,0.6117,3.071,0.26224,0.1538,0.6077,1,0.9821,0.52639
A,0.1,0.0,0.0,0.1,14,1,0.9938,0.7154,0.7065,1,1,0,0.6454,2.9847,0.15504,0.26345,0.6046,1,0.977,0.52274
A,0.1,0.0,0.0,0.1,15,1,0.995,0.7361,0.6896,1,1,0,0.5784,3.052,0.19709,0.26644,0.6065,1,0.9729,0.64988
A,0.2,0.0,0.0,0.0,0,1,0.9831,0.7073,0.6786,1,1,0,0.6889,0.0109,0.05053,0.19946,0.0953,1,0.9792,0.20223
A,0.2,0.0,0.0,0.0,1,1,0.9927,0.6976,0.7021,1,1,0,0.7155,0.0,0.1992,0.05074,0.089,1,0.9698,0.20301
A,0.2,0.0,0.0,0.0,2,1,0.9909,0.7217,0.6919,1,1,0,0.6732,0.0084,0.05096,0.19876,0.0884,1,0.991,0.20413
A,0.2,0.0,0.0,0.0,3,1,0.9945,0.7003,0.6813,1,1,0,0.6936,0.0025,0.05062,0.20064,0.0899,1,0.9764,0.20148
A,0.2,0.0,0.0,0.0,4,0,0.9788,0.6911,0.6814,1,1,0,0.6938,0.005,0.19908,0.05056,0.0871,1,0.967,0.20259
A,0.2,0.0,0.0,0.0,5,0,0.8407,0.2324,0.6562,0,0,0,1.0,3.9938,0.25039,0.25039,0.1202,,,
A,0.2,0.0,0.0,0.0,6,1,0.9913,0.7102,0.7029,1,1,0,0.6946,0.0049,0.05097,0.20058,0.0867,1,0.9874,0.20265
A,0.2,0.0,0.0,0.0,7,1,0.9866,0.7007,0.6875,1,1,0,0.6841,0.0912,0.05092,0.20125,0.095,1,0.9756,0.20268
A,0.2,0.0,0.0,0.0,8,1,0.994,0.7282,0.6871,1,1,0,0.6598,0.4126,0.19997,0.05466,0.0869,1,0.9924,0.21854
A,0.2,0.0,0.0,0.0,9,1,0.9878,0.721,0.6786,0,0,0,0.6434,1.1955,0.2012,0.06473,0.0915,,,
A,0.2,0.0,0.0,0.0,10,1,0.9881,0.7359,0.6895,0,0,0,0.6479,0.5692,0.20039,0.05568,0.0924,,,
A,0.2,0.0,0.0,0.0,11,1,0.9939,0.717,0.7206,1,1,0,0.6961,0.0005,0.0502,0.20112,0.081,1,0.9885,0.19975
A,0.2,0.0,0.0,0.0,12,1,0.9867,0.726,0.7068,1,1,0,0.6608,0.1068,0.20073,0.04943,0.0915,1,0.9897,0.19843
A,0.2,0.0,0.0,0.0,13,1,0.9899,0.7126,0.6786,1,1,0,0.6885,0.0015,0.19936,0.05011,0.0885,1,0.9863,0.2009
A,0.2,0.0,0.0,0.0,14,0,0.842,0.2277,0.6733,0,0,0,1.0,3.9837,0.25102,0.25102,0.115,,,
A,0.2,0.0,0.0,0.0,15,0,0.8551,0.2596,0.6677,0,0,0,1.0,3.9854,0.25091,0.25091,0.1277,,,
A,0.2,0.0,0.0,0.1,0,1,0.9823,0.7361,0.6775,1,1,0,0.5941,2.9602,0.18251,0.2494,0.6159,1,0.9735,0.61414
A,0.2,0.0,0.0,0.1,1,1,0.9928,0.7192,0.6984,1,1,0,0.6247,2.9825,0.24714,0.18369,0.6056,1,0.9652,0.62176
A,0.2,0.0,0.0,0.1,2,1,0.9888,0.755,0.6884,1,1,0,0.5729,3.0275,0.18103,0.251,0.6052,1,0.9841,0.61478
A,0.2,0.0,0.0,0.1,3,1,0.9939,0.7154,0.6839,1,1,0,0.6034,3.0562,0.20042,0.24369,0.6092,1,0.9698,0.67976
A,0.2,0.0,0.0,0.1,4,0,0.9799,0.7271,0.6846,1,1,0,0.6077,2.9878,0.17016,0.25138,0.6085,1,0.965,0.57928
A,0.2,0.0,0.0,0.1,5,1,0.9889,0.7326,0.6778,1,1,0,0.6437,2.8975,0.15279,0.24995,0.6046,1,0.9732,0.52308
A,0.2,0.0,0.0,0.1,6,1,0.9904,0.737,0.694,1,1,0,0.6041,2.9605,0.24821,0.18512,0.6066,1,0.9771,0.62268
A,0.2,0.0,0.0,0.1,7,1,0.9836,0.7323,0.6949,1,1,0,0.5898,3.0249,0.18331,0.25238,0.6164,1,0.9656,0.61982
A,0.2,0.0,0.0,0.1,8,1,0.9936,0.7536,0.6827,1,1,0,0.5624,3.0083,0.25209,0.20102,0.6074,1,0.9856,0.66858
A,0.2,0.0,0.0,0.1,9,1,0.9863,0.7576,0.6786,1,1,0,0.5414,3.0555,0.19704,0.25516,0.607,1,0.9812,0.65992
A,0.2,0.0,0.0,0.1,10,1,0.9874,0.7677,0.692,1,1,0,0.5531,2.9636,0.19042,0.25551,0.6095,1,0.9917,0.63107
