block,m_children,rho1,rho2,rho3,sigma,m_lat,seed,absorbed,cos_comp,cos_parent,cos_child,comp_idx,parent_idx,rec,comp_fire_rate,rho_hat_gmm,gmm_mu_lo,gmm_mu_hi,gmm_w_hi,n_fire,rho_hat_bin,fire|host_only,fire|joint,act|host_only,act|joint,tv_full,tv_null,tv_inplane,tv_inplane_null,tv_cond,h4_mus,h4_ws
R,1,0.1,0,0,0.0,32,4,1,0.9806,0.984,0.695,11,7,0.0868,0.03366,0.75327,0.0113,1.2716,0.75327,6732,0.10161,0.037,1.0,0.0113,1.2716,0.28525,0.26266,0.04485,3e-05,1.0,,
R,1,0.1,0,0,0.0,32,5,0,0.7846,0.9758,0.1338,31,31,0.1068,0.25045,0.25835,0.8535,0.9098,0.25835,50091,1.0,1.0,1.0,0.8545,0.9902,0.26156,0.26241,0.00108,0.00117,0.37378,,
R,1,0.1,0,0,0.0,32,6,1,0.992,0.9733,0.7167,18,1,0.0884,0.03959,0.63193,0.0092,1.2858,0.63193,7917,0.09953,0.0643,1.0,0.0092,1.2858,0.28603,0.26328,0.04459,0.00039,1.0,,
R,1,0.1,0,0,0.0,32,7,0,0.7501,0.9844,0.0764,0,0,0.116,0.25123,0.439,0.8696,0.8723,0.439,50247,1.0,1.0,1.0,0.8632,0.9392,0.26302,0.26319,0.00203,0.00251,0.37387,,
R,1,0.1,0,0,0.0,32,8,0,0.7631,0.9748,0.1044,27,27,0.1124,0.25013,0.38511,0.8596,0.8798,0.38511,50027,1.0,1.0,1.0,0.8571,0.9584,0.26215,0.26129,0.00081,0.00038,0.37062,,
R,1,0.1,0,0,0.0,32,9,1,0.9887,0.9882,0.7191,30,28,0.0923,0.15579,0.16115,0.0259,1.2736,0.16115,31158,0.1707,0.5801,1.0,0.0259,1.2736,0.28727,0.26387,0.04675,0.00251,1.0,,
R,1,0.1,0,0,0.0,32,10,0,0.7497,0.9726,0.2139,31,31,0.1169,0.24973,0.37435,0.8562,0.8739,0.37435,49945,1.0,1.0,1.0,0.8542,0.9401,0.2625,0.26126,0.00223,0.00238,0.37451,,
R,1,0.1,0,0,0.0,32,11,1,0.9949,0.9838,0.7179,17,31,0.0824,0.02564,0.99828,0.9134,1.2926,0.99828,5128,0.10198,0.0,1.0,0.0011,1.2925,0.28377,0.26253,0.04485,0.00037,1.0,,
R,1,0.1,0,0,0.0,32,12,1,0.9885,0.9824,0.7234,27,4,0.0934,0.06852,0.36087,0.0129,1.2787,0.36087,13703,0.10028,0.1952,1.0,0.0129,1.2787,0.28523,0.26409,0.04497,0.00065,1.0,,
R,1,0.1,0,0,0.0,32,13,1,0.9915,0.9841,0.712,28,3,0.087,0.0253,0.99874,0.2521,1.2839,0.99874,5059,0.1013,0.0001,1.0,0.008,1.2839,0.28458,0.26267,0.04557,0.0028,1.0,,
R,1,0.1,0,0,0.0,32,14,1,0.9946,0.9887,0.6923,28,22,0.0817,0.02494,0.9996,0.0013,1.2926,0.9996,4988,0.09931,0.0,1.0,0.0013,1.2926,0.28545,0.2657,0.04619,0.00181,1.0,,
R,1,0.1,0,0,0.0,32,15,1,0.9964,0.9776,0.7109,2,16,0.0917,0.1889,0.13409,0.0319,1.2872,0.13409,37781,0.2265,0.7251,1.0,0.0319,1.2872,0.28708,0.26545,0.04629,0.00177,0.99893,,
R,1,0.2,0,0,0.0,32,0,1,0.983,0.9758,0.705,24,5,0.0965,0.0631,0.79914,0.0116,1.2741,0.79914,12621,0.20211,0.0635,1.0,0.0116,1.2741,0.28423,0.26387,0.04418,0.00091,1.0,,
R,1,0.2,0,0,0.0,32,1,1,0.9928,0.978,0.6982,1,22,0.0867,0.05082,0.99843,0.0065,1.2907,0.99843,10164,0.20301,0.0004,1.0,0.0065,1.2907,0.28522,0.26327,0.04527,0.00109,1.0,,
R,1,0.2,0,0,0.0,32,2,1,0.9906,0.986,0.7237,5,20,0.0893,0.05099,0.99861,0.5985,1.2818,0.99861,10199,0.20413,0.0002,1.0,0.0041,1.2818,0.28586,0.26299,0.04499,0.00247,1.0,,
R,1,0.2,0,0,0.0,32,3,1,0.9944,0.9841,0.7003,15,29,0.0916,0.05801,0.8721,0.0141,1.2854,0.8721,11603,0.20154,0.037,1.0,0.0141,1.2854,0.28287,0.26479,0.04545,0.00097,1.0,,
R,1,0.2,0,0,0.0,32,4,0,0.9785,0.984,0.6901,2,8,0.0883,0.05735,0.88159,0.0109,1.2692,0.88159,11469,0.20259,0.0341,1.0,0.0109,1.2692,0.28525,0.26266,0.04485,3e-05,1.0,,
R,1,0.2,0,0,0.0,32,5,0,0.8413,0.957,0.2328,20,20,0.2001,0.25048,0.20925,0.8348,1.0628,0.20925,50096,1.0,1.0,1.0,0.8353,1.068,0.24113,0.24149,0.00108,0.00117,0.34919,,
R,1,0.2,0,0,0.0,32,6,1,0.9914,0.9736,0.7141,13,12,0.0876,0.05968,0.85364,0.0095,1.286,0.85364,11936,0.20263,0.0436,1.0,0.0095,1.286,0.28605,0.26329,0.04457,0.00039,1.0,,
R,1,0.2,0,0,0.0,32,7,1,0.9854,0.9866,0.6961,1,19,0.097,0.09002,0.55523,0.0181,1.2758,0.55523,18005,0.20465,0.1988,1.0,0.0181,1.2758,0.28607,0.26515,0.0451,0.00263,1.0,,
R,1,0.2,0,0,0.0,32,8,1,0.9941,0.978,0.726,3,20,0.0887,0.1545,0.32728,0.0215,1.2858,0.32728,30900,0.23167,0.5205,1.0,0.0215,1.2858,0.28732,0.26387,0.04617,0.00061,1.0,,
R,1,0.2,0,0,0.0,32,9,1,0.9878,0.9884,0.724,23,2,0.093,0.15265,0.32713,0.0229,1.2714,0.32713,30529,0.23816,0.5125,1.0,0.0229,1.2714,0.28713,0.26363,0.04631,0.00198,0.99974,,
R,1,0.2,0,0,0.0,32,10,1,0.989,0.9789,0.7353,6,4,0.1604,0.11522,0.43359,0.019,1.28,0.43359,23045,0.21367,0.3267,1.0,0.019,1.28,0.2666,0.24309,0.04408,0.00281,0.99984,,
R,1,0.2,0,0,0.0,32,11,1,0.9936,0.9845,0.7171,9,4,0.0813,0.0502,0.37059,1.2808,1.3079,0.37059,10040,0.19975,0.0,1.0,nan,1.2909,0.28377,0.26253,0.04485,0.00037,1.0,,
R,1,0.2,0,0,0.0,32,12,1,0.9871,0.9826,0.7247,7,0,0.0928,0.08028,0.6146,0.0108,1.2766,0.6146,16056,0.19843,0.1549,1.0,0.0108,1.2766,0.28523,0.26406,0.04509,0.00062,1.0,,
R,1,0.2,0,0,0.0,32,13,1,0.9903,0.9846,0.7113,30,1,0.089,0.05015,0.99844,0.6462,1.2819,0.99844,10030,0.2009,0.0002,1.0,0.0074,1.2818,0.28459,0.26267,0.04557,0.0028,1.0,,
R,1,0.2,0,0,0.0,32,14,1,0.9938,0.9891,0.6881,9,1,0.0843,0.04966,0.99931,0.6679,1.2912,0.99931,9932,0.19777,0.0001,1.0,0.0046,1.2912,0.28545,0.2657,0.04619,0.00181,1.0,,
R,1,0.2,0,0,0.0,32,15,1,0.9961,0.9781,0.7132,6,26,0.0923,0.18474,0.27071,0.0259,1.2856,0.27071,36947,0.25438,0.6706,1.0,0.0259,1.2856,0.28681,0.26537,0.04725,0.00176,0.99872,,
S,1,0.1,0,0,0.0,32,0,0,0.7644,0.968,0.2618,17,17,0.1771,0.24989,0.35433,0.8525,0.8733,0.35433,49978,1.0,1.0,1.0,0.8485,0.9621,,,,,,,
S,1,0.1,0,0,0.0,32,1,0,0.789,0.9711,0.1447,18,18,0.1124,0.25001,0.22195,0.8535,0.919,0.22195,50002,1.0,1.0,1.0,0.8538,0.9953,,,,,,,
S,1,0.1,0,0,0.0,32,2,1,0.993,0.9855,0.7211,11,22,0.0902,0.02547,0.9998,0.0009,1.2861,0.9998,5094,0.10201,0.0,1.0,0.0009,1.2861,,,,,,,
S,1,0.1,0,0,0.0,32,3,1,0.9953,0.9835,0.702,1,27,0.088,0.06065,0.41467,0.0136,1.2894,0.41467,12130,0.10158,0.157,1.0,0.0136,1.2894,,,,,,,
S,1,0.1,0,0,0.0,32,4,1,0.9805,0.984,0.6936,29,21,0.0857,0.03479,0.7287,0.0123,1.2728,0.7287,6959,0.10163,0.0421,1.0,0.0123,1.2728,,,,,,,
S,1,0.1,0,0,0.0,32,5,0,0.7831,0.9758,0.1317,13,13,0.1068,0.25051,0.26395,0.8538,0.9059,0.26395,50103,1.0,1.0,1.0,0.8545,0.9872,,,,,,,
S,1,0.1,0,0,0.0,32,6,1,0.9912,0.9729,0.7204,31,2,0.0884,0.03987,0.62741,0.0092,1.2851,0.62741,7974,0.09955,0.0656,1.0,0.0092,1.2851,,,,,,,
