gamma,eps,seed,child_latent_angle_deg,top_1_rho,top_1_phi_deg,top_2_rho,top_2_phi_deg,top_3_rho,top_3_phi_deg,top_4_rho,top_4_phi_deg,top_5_rho,top_5_phi_deg
0.05,0.03,6,74.88663482666016,0.9856727719306946,74.88663482666016,0.9746488928794861,0.4101918041706085,0.08037503063678741,46.06230926513672,0.07680347561836243,-6.678282260894775,0.07022861391305923,166.64315795898438
0.05,0.03,7,73.8897933959961,0.9859663248062134,73.8897933959961,0.9746254086494446,0.48940354585647583,0.07958248257637024,-8.670199394226074,0.07919196784496307,44.475929260253906,0.07148804515600204,169.3928680419922
0.1,0.005,0,46.59886169433594,0.9908939003944397,46.59886169433594,0.9819563627243042,-1.7248278856277466,0.07755981385707855,42.1448974609375,0.06773877143859863,-2.555865526199341,0.06540242582559586,170.3767852783203
0.1,0.005,1,46.51425552368164,0.9909986257553101,46.51425552368164,0.9819232225418091,-1.9304522275924683,0.07609706372022629,40.71022415161133,0.06821131706237793,-3.952258348464966,0.06815513968467712,169.13601684570312
0.1,0.005,2,46.604087829589844,0.9916147589683533,46.604087829589844,0.9819485545158386,-1.7338863611221313,0.0866420790553093,131.47579956054688,0.07749617099761963,40.170406341552734,0.06522030383348465,170.14273071289062
0.1,0.005,3,47.86582565307617,0.9908967018127441,47.86582565307617,0.982251763343811,-4.21097469329834,0.08037305623292923,44.99329376220703,0.07135972380638123,-4.73607063293457,0.06900594383478165,170.3144989013672
0.1,0.005,4,46.493595123291016,0.9914951920509338,46.493595123291016,0.9823213815689087,-1.7542543411254883,0.06772945821285248,-2.025475025177002,0.0673864558339119,42.48341751098633,0.0646580383181572,170.85853576660156
0.1,0.005,5,46.4249267578125,0.9911906719207764,46.424922943115234,0.9835529923439026,-1.7885760068893433,0.07821780443191528,42.17778015136719,0.06900196522474289,-2.4744644165039062,0.06540629267692566,170.59130859375
0.1,0.005,6,46.709266662597656,0.9914039969444275,46.709266662597656,0.9823768734931946,-1.878679633140564,0.33676156401634216,-86.22522735595703,0.06874124705791473,40.637794494628906,0.06831802427768707,-0.7035545706748962
0.1,0.005,7,46.54948425292969,0.9908611178398132,46.54948806762695,0.9819698929786682,-1.9421508312225342,0.07684583961963654,41.0791130065918,0.06583848595619202,169.93609619140625,0.0650930181145668,-2.7829439640045166
0.1,0.01,0,62.1879997253418,0.9913280606269836,62.1879997253418,0.9769564867019653,-1.6809266805648804,0.0835035964846611,-8.724176406860352,0.08012694865465164,42.75047302246094,0.06900982558727264,167.37245178222656
0.1,0.01,1,47.35591125488281,0.9914087057113647,47.35590744018555,0.984309732913971,-6.776759147644043,0.08421695232391357,47.76530456542969,0.06962620466947556,169.2665252685547,0.06753630936145782,-2.070509672164917
0.1,0.01,2,47.085636138916016,0.9908043742179871,47.085636138916016,0.9818964600563049,-1.9611366987228394,0.076998271048069,41.970314025878906,0.06973525136709213,168.65884399414062,0.06745178252458572,-0.6120859980583191
0.1,0.01,3,46.95064926147461,0.9907764792442322,46.95064926147461,0.9820663928985596,-2.0902822017669678,0.07230927795171738,45.000064849853516,0.0685417428612709,-1.2017184495925903,0.06840736418962479,169.00057983398438
0.1,0.01,4,46.96674346923828,0.9910778999328613,46.96674346923828,0.9826147556304932,-1.8019543886184692,0.09879160672426224,-130.05502319335938,0.07914507389068604,40.74620056152344,0.06428583711385727,-2.4544928073883057
0.1,0.01,5,47.11148452758789,0.9909442067146301,47.11148452758789,0.9820141792297363,-1.841266393661499,0.07216963917016983,41.899009704589844,0.07031559199094772,168.8717803955078,0.06616928428411484,-3.0021681785583496
